accession,gi,species,kingdom,phylum,class,order,family,genus
NC_028714.1,167815,Eurythoe complanata,Animalia,Annelida,Polychaeta,Amphinomida,Amphinomidae,Eurythoe
NC_023124.1,167828,Marphysa sanguinea,Animalia,Annelida,Polychaeta,Eunicida,Eunicidae,Marphysa
NC_030040.1,862681,Namalycastis abiuma,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Namalycastis
NC_026856.1,53617,Escarpia spicata,Animalia,Annelida,Polychaeta,Sabellida,Siboglinidae,Escarpia
NC_026858.1,238240,Lamellibrachia luymesi,Animalia,Annelida,Polychaeta,Sabellida,Siboglinidae,Lamellibrachia
NC_026859.1,53619,Oasisia alvinae,Animalia,Annelida,Polychaeta,Sabellida,Siboglinidae,Oasisia
NC_024653.1,27915,Ridgeia piscesae,Animalia,Annelida,Polychaeta,Sabellida,Siboglinidae,Ridgeia
NC_026860.1,6426,Riftia pachyptila,Animalia,Annelida,Polychaeta,Sabellida,Siboglinidae,Riftia
NC_026855.1,167799,Sclerolinum brattstromi,Animalia,Annelida,Polychaeta,Sabellida,Siboglinidae,Sclerolinum
NC_026862.1,53621,Tevnia jerichonana,Animalia,Annelida,Polychaeta,Sabellida,Siboglinidae,Tevnia
NC_028711.1,46598,Magelona mirabilis,Animalia,Annelida,Polychaeta,Spionida,Magelonidae,Magelona
NC_011011.1,279652,Pista cristata,Animalia,Annelida,Polychaeta,Terebellida,Terebellidae,Pista
NC_013248.1,1934738,Tritia reticulata,Animalia,Arthropoda,Arachnida,Sarcoptiformes,Euphthiracaridae,Acrotritia
NC_015074.1,229100,Calliope calliope,Animalia,Arthropoda,Insecta,Hemiptera,Cicadidae,Cicadetta
NC_030536.1,6493,Conus striatus,Animalia,Arthropoda,Insecta,Hymenoptera,Scelionidae,Probaryconus
NC_036679.1,7574,Lingula anatina,Animalia,Brachiopoda,Lingulata,Lingulida,Lingulidae,Lingula
NC_000941.1,7580,Terebratulina retusa,Animalia,Brachiopoda,Rhynchonellata,Terebratulida,Cancellothyrididae,Terebratulina
NC_006688.1,171366,Alytes obstetricans,Animalia,Chordata,Amphibia,Anura,Alytidae,Alytes
NC_006690.1,97956,Discoglossus galganoi,Animalia,Chordata,Amphibia,Anura,Alytidae,Discoglossus
NC_030054.1,238106,Anomaloglossus baeobatrachus,Animalia,Chordata,Amphibia,Anura,Aromobatidae,Anomaloglossus
NC_037856.1,238107,Anomaloglossus degranvillei,Animalia,Chordata,Amphibia,Anura,Aromobatidae,Anomaloglossus
NC_023382.1,111096,Trichobatrachus robustus,Animalia,Chordata,Amphibia,Anura,Arthroleptidae,Trichobatrachus
NC_042501.1,8345,Bombina bombina,Animalia,Chordata,Amphibia,Anura,Bombinatoridae,Bombina
NC_021477.1,414352,Bombina lichuanensis,Animalia,Chordata,Amphibia,Anura,Bombinatoridae,Bombina
NC_011049.1,161274,Bombina maxima,Animalia,Chordata,Amphibia,Anura,Bombinatoridae,Bombina
NC_006689.1,8346,Bombina orientalis,Animalia,Chordata,Amphibia,Anura,Bombinatoridae,Bombina
NC_009258.1,8348,Bombina variegata,Animalia,Chordata,Amphibia,Anura,Bombinatoridae,Bombina
NC_023379.1,1283716,Breviceps adspersus,Animalia,Chordata,Amphibia,Anura,Brevicipitidae,Breviceps
NC_008410.1,30331,Bufo gargarizans,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo
NC_009886.1,8387,Bufo japonicus,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo
NC_020048.1,103437,Bufo tibetanus,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo
NC_005794.2,30335,Duttaphrynus melanostictus,Animalia,Chordata,Amphibia,Anura,Bufonidae,Duttaphrynus
NC_037378.1,1903088,Melanophryniscus moreirae,Animalia,Chordata,Amphibia,Anura,Bufonidae,Melanophryniscus
NC_027274.1,93483,Telmatobufo australis,Animalia,Chordata,Amphibia,Anura,Calyptocephalellidae,Telmatobufo
NC_027671.1,1582976,Platymantis vitianus,Animalia,Chordata,Amphibia,Anura,Ceratobatrachidae,Platymantis
NC_020002.1,288794,Telmatobius bolivianus,Animalia,Chordata,Amphibia,Anura,Ceratophryidae,Telmatobius
NC_030333.1,1229843,Telmatobius chusmisensis,Animalia,Chordata,Amphibia,Anura,Ceratophryidae,Telmatobius
NC_037379.1,238111,Hyloxalus subpunctatus,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus
NC_037380.1,111132,Phyllobates terribilis,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Phyllobates
NC_014584.1,143416,Euphlyctis hexadactylus,Animalia,Chordata,Amphibia,Anura,Dicroglossidae,Euphlyctis
NC_012647.1,111367,Fejervarya cancrivora,Animalia,Chordata,Amphibia,Anura,Dicroglossidae,Fejervarya
NC_029754.1,429310,Fejervarya multistriata,Animalia,Chordata,Amphibia,Anura,Dicroglossidae,Fejervarya
NC_019615.1,110072,Hoplobatrachus rugulosus,Animalia,Chordata,Amphibia,Anura,Dicroglossidae,Hoplobatrachus
NC_014581.1,103373,Hoplobatrachus tigerinus,Animalia,Chordata,Amphibia,Anura,Dicroglossidae,Hoplobatrachus
NC_007440.2,120496,Limnonectes fujianensis,Animalia,Chordata,Amphibia,Anura,Dicroglossidae,Limnonectes
NC_026789.1,125878,Nanorana parkeri,Animalia,Chordata,Amphibia,Anura,Dicroglossidae,Nanorana
NC_016119.1,120498,Nanorana pleskei,Animalia,Chordata,Amphibia,Anura,Dicroglossidae,Nanorana
NC_024272.1,586025,Nanorana taihangnica,Animalia,Chordata,Amphibia,Anura,Dicroglossidae,Nanorana
NC_039094.1,342811,Nanorana ventripunctata,Animalia,Chordata,Amphibia,Anura,Dicroglossidae,Nanorana
NC_014685.1,146711,Occidozyga martensii,Animalia,Chordata,Amphibia,Anura,Dicroglossidae,Occidozyga
NC_021937.1,120502,Quasipaa boulengeri,Animalia,Chordata,Amphibia,Anura,Dicroglossidae,Quasipaa
NC_013270.1,109965,Quasipaa spinosa,Animalia,Chordata,Amphibia,Anura,Dicroglossidae,Quasipaa
NC_024843.1,342822,Quasipaa yei,Animalia,Chordata,Amphibia,Anura,Dicroglossidae,Quasipaa
NC_019998.1,143568,Heleophryne regis,Animalia,Chordata,Amphibia,Anura,Heleophrynidae,Heleophryne
NC_023380.1,83971,Hemisus marmoratus,Animalia,Chordata,Amphibia,Anura,Hemisotidae,Hemisus
